"","DATE","GDP","cpi","bond_yield","int_Rate","unemply_claims","avg_hours_worked","housing_permits","population_perc_change","unemployment_rate","perc_ch_GDP"
"87",2008-10-01,15366.607,2.78202926666667,3.25333333333333,2.70064516129032,510557.692307692,-5.6,638.666666666667,0.23428,6.86666666666667,-2.1831
"88",2009-01-01,15187.475,2.52177496666667,2.73666666666667,2.54918032786885,608903.846153846,-3.6,538.666666666667,0.20287,8.26666666666667,-1.16572
"89",2009-04-01,15161.772,2.2516231,3.31333333333333,3.14174603174603,619826.923076923,-0.8,559.333333333333,0.20551,9.3,-0.16924
"90",2009-07-01,15216.647,1.76965196666667,3.51666666666667,3.36328125,563942.307692308,2.5,606.666666666667,0.23029,9.63333333333333,0.36193
"91",2009-10-01,15379.155,1.40578336666667,3.46,3.34532258064516,511461.538461538,4.6,623.333333333333,0.2316,9.93333333333333,1.06796
"92",2010-01-01,15456.059,1.05456261,3.71666666666667,3.58114754098361,479865.384615385,3.5,657.666666666667,0.20003,9.83333333333333,0.50005
"93",2010-04-01,15605.628,0.820244103333333,3.49,3.300625,463384.615384615,2.6,599.666666666667,0.18992,9.63333333333333,0.9677
"94",2010-07-01,15726.282,0.704278476666667,2.78666666666667,2.59609375,462769.230769231,3.9,574,0.21315,9.46666666666667,0.77314
"95",2010-10-01,15807.995,0.779456523333333,2.86333333333333,2.68903225806452,437192.307692308,-1.8,583.333333333333,0.21581,9.5,0.5196
"96",2011-01-01,15769.911,1.09000671,3.46,3.30193548387097,413961.538461538,-0.6,567,0.17974,9.03333333333333,-0.24092
"97",2011-04-01,15876.839,1.25866603333333,3.21,3.10825396825397,418673.076923077,1.6,611.666666666667,0.18135,9.06666666666667,0.67805
"98",2011-07-01,15870.684,1.60247236666667,2.42666666666667,2.3303125,413557.692307692,0.2,626,0.2134,9,-0.03877
"99",2011-10-01,16048.702,1.90997713333333,2.04666666666667,1.9716393442623,393553.571428571,1.8,691.333333333333,0.20846,8.63333333333333,1.12168
"100",2012-01-01,16179.968,2.08629246666667,2.03666666666667,1.93370967741935,372692.307692308,0.4,752,0.17728,8.26666666666667,0.81792
"101",2012-04-01,16253.726,2.20807463333333,1.82333333333333,1.67125,376461.538461538,-0.1,774,0.17845,8.2,0.45586
"102",2012-07-01,16282.151,2.21781826666667,1.64333333333333,1.49507936507937,376038.461538462,-0.7,873,0.20899,8.03333333333333,0.17488
"103",2012-10-01,16300.035,2.1709293,1.70666666666667,1.54622950819672,377000,0.1,915,0.2077,7.8,0.10984
"104",2013-01-01,16441.485,2.10473886666667,1.95,1.80583333333333,353346.153846154,0.1,952,0.16176,7.73333333333333,0.86779
"105",2013-04-01,16464.402,1.90661593333333,1.99666666666667,1.86921875,348634.615384615,0.1,985.666666666667,0.16994,7.53333333333333,0.13939
"106",2013-07-01,16594.743,1.8908401,2.71,2.62109375,334365.384615385,0.7,988.333333333333,0.20943,7.23333333333333,0.79165
"107",2013-10-01,16712.76,1.87767086666667,2.74666666666667,2.65870967741935,340692.307692308,1.7,1026,0.21298,6.93333333333333,0.71117
"108",2014-01-01,16654.247,1.81061916666667,2.76333333333333,2.69262295081967,328903.846153846,-3.4,1027.33333333333,0.17994,6.66666666666667,-0.35011
"109",2014-04-01,16868.109,2.0989122,2.62333333333333,2.53,317788.461538462,3.2,1039.33333333333,0.18307,6.2,1.28413
"110",2014-07-01,17064.616,2.00578686666667,2.49666666666667,2.40984375,302076.923076923,0.2,1066.66666666667,0.21636,6.06666666666667,1.16496
"111",2014-10-01,17141.235,1.99383676666667,2.28,2.17387096774194,289596.153846154,1.3,1075,0.21662,5.7,0.44899
"112",2015-01-01,17280.647,1.988929,1.96666666666667,1.85426229508197,291230.769230769,-0.9,1082.66666666667,0.17373,5.53333333333333,0.81331
"113",2015-04-01,17380.875,2.08158103333333,2.16666666666667,2.0384375,278096.153846154,-1.4,1272.33333333333,0.17924,5.43333333333333,0.58
"114",2015-07-01,17437.08,2.20037283333333,2.22,2.08734375,274653.846153846,-2.3,1149.66666666667,0.21249,5.1,0.32337
"115",2015-10-01,17462.579,2.3983863,2.19,2.02967741935484,268730.769230769,0.4,1205,0.21183,5.03333333333333,0.14623
"116",2016-01-01,17565.465,2.5142698,1.92,1.54852459016393,270846.153846154,1.1,1153.66666666667,0.17899,4.9,0.58918
"117",2016-04-01,17618.581,2.5593518,1.75333333333333,1.38015625,268826.923076923,0.5,1191,0.17815,4.93333333333333,0.30239
"118",2016-07-01,17724.489,2.64358693333333,1.56333333333333,1.1690625,259923.076923077,0,1234,0.20343,4.9,0.60112
"119",2016-10-01,17812.56,2.54342123333333,2.13,1.68950819672131,251410.714285714,-0.2,1244,0.19451,4.76666666666667,0.49689
"120",2017-01-01,17889.094,2.59645533333333,2.44333333333333,1.74274193548387,238083.333333333,-0.2,1278,0.15215,4.56666666666667,0.42966
"121",2017-04-01,17979.218,2.18220366666667,2.26333333333333,1.30746031746032,235961.538461538,0.6,1268.33333333333,0.15376,4.36666666666667,0.50379
"122",2017-07-01,18127.994,2.11443266666667,2.24333333333333,1.08587301587302,256125,0.7,1280.66666666667,0.17955,4.33333333333333,0.82749
